animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S7.3,4/12/2025,d12,14:21:31,stress_cohort.exp,961.67,40
S7.3,4/13/2025,d13,12:56:20,stress_cohort.exp,1685.05,40
S7.3,4/16/2025,d14,10:49:15,stress_cohort.exp,986.72,40
S8.1,3/31/2025,d01,14:37:06,stress_cohort.exp,1834.79,5
S8.1,4/1/2025,d02,11:42:33,stress_cohort.exp,2399.98,0
S8.1,4/2/2025,d03,15:27:57,stress_cohort.exp,2387.69,1
S8.1,4/3/2025,d04,12:18:20,stress_cohort.exp,2386.75,1
S8.1,4/4/2025,d05,13:00:59,stress_cohort.exp,2371.87,3
S8.1,4/5/2025,d06,14:19:42,stress_cohort.exp,1219.09,2
S8.1,4/7/2025,d07,12:31:51,stress_cohort.exp,2143.55,20
S8.1,4/8/2025,d08,11:34:27,stress_cohort.exp,1931.64,23
S8.1,4/9/2025,d09,12:57:03,stress_cohort.exp,1567.88,26
S8.1,4/10/2025,d10,11:56:01,stress_cohort.exp,1378.15,39
S8.1,4/11/2025,d11,13:26:12,stress_cohort.exp,1074.18,40
S8.1,4/12/2025,d12,15:00:42,stress_cohort.exp,1691.53,36
S8.1,4/13/2025,d13,12:56:20,stress_cohort.exp,845.64,40
S8.1,4/13/2025,d14,14:40:11,stress_cohort.exp,1458.48,40
S8.2,3/31/2025,d01,14:37:06,stress_cohort.exp,2128.72,4
S8.2,4/1/2025,d02,11:42:33,stress_cohort.exp,2312.88,3
S8.2,4/2/2025,d03,15:27:57,stress_cohort.exp,2356.39,3
S8.2,4/3/2025,d04,12:18:20,stress_cohort.exp,2393.69,1
S8.2,4/4/2025,d05,13:00:59,stress_cohort.exp,2300.70,2
S8.2,4/5/2025,d06,14:19:42,stress_cohort.exp,1234.14,1
S8.2,4/7/2025,d07,12:31:51,stress_cohort.exp,2358.91,3
S8.2,4/8/2025,d08,11:34:27,stress_cohort.exp,2307.11,9
S8.2,4/9/2025,d09,12:57:03,stress_cohort.exp,2161.94,38
S8.2,4/10/2025,d10,11:56:01,stress_cohort.exp,1302.31,35
S8.2,4/11/2025,d11,13:26:12,stress_cohort.exp,1892.87,35
S8.2,4/12/2025,d12,15:00:42,stress_cohort.exp,1791.31,38
S8.2,4/13/2025,d13,12:56:20,stress_cohort.exp,1160.79,40
S8.2,4/13/2025,d14,14:40:11,stress_cohort.exp,1151.74,40
S8.3,3/31/2025,d01,14:37:06,stress_cohort.exp,2229.24,3
S8.3,4/1/2025,d02,11:42:33,stress_cohort.exp,1975.65,4
S8.3,4/2/2025,d03,15:27:57,stress_cohort.exp,2267.22,7
S8.3,4/3/2025,d04,12:18:21,stress_cohort.exp,2389.08,2
S8.3,4/4/2025,d05,13:00:59,stress_cohort.exp,2373.57,3
S8.3,4/5/2025,d06,14:19:42,stress_cohort.exp,1244.29,1
S8.3,4/7/2025,d07,12:31:51,stress_cohort.exp,1915.58,28
S8.3,4/8/2025,d08,11:34:27,stress_cohort.exp,1081.44,29
S8.3,4/9/2025,d09,12:57:03,stress_cohort.exp,1636.14,34
S8.3,4/10/2025,d10,11:56:01,stress_cohort.exp,1053.90,32
S8.3,4/11/2025,d11,13:26:12,stress_cohort.exp,1286.54,40
S8.3,4/12/2025,d12,15:00:42,stress_cohort.exp,1423.27,37
S8.3,4/13/2025,d13,12:56:20,stress_cohort.exp,1267.36,40
S8.3,4/13/2025,d14,14:40:11,stress_cohort.exp,1441.52,38
S8.4,3/31/2025,d01,14:37:06,stress_cohort.exp,2115.82,8
S8.4,4/1/2025,d02,11:42:33,stress_cohort.exp,2173.31,3
S8.4,4/2/2025,d03,15:27:57,stress_cohort.exp,1925.57,6
S8.4,4/3/2025,d04,12:18:21,stress_cohort.exp,1921.51,7
