animal,Date,state,pressing_rate,day,excl
h61.2,12/19/24,pressing_passive,4.890459085,d16,
h165.3,5-Mar,pressing_passive,4.22349659,d16,
h165.2,3/8/25,pressing_passive,3.439557185,d16,
h57.2,10/1/24,pressing_passive,3.328981723,d16,
h168.1,6/22/25,pressing_active,3.080985915,d16,
h61.1,12/19/24,pressing_passive,2.790308329,d16,
h165.2,5-Mar,pressing_passive,2.405950718,d16,
h168.3,6/22/25,pressing_passive,1.809378612,d16,
h165.1,5-Mar,pressing_passive,1.661578632,d16,
h165.4,5-Mar,pressing_passive,1.45686901,d16,
h168.2,6/22/25,pressing_passive,1.354952351,d16,
h61.3,12/19/24,pressing_active,1.329529035,d16,
h61.4,12/19/24,pressing_passive,0.800245013,d16,
h61.3,12/19/24,pressing_passive,0.546415929,d16,
h168.1,6/22/25,pressing_passive,0.234274335,d16,
h165.3,3/9/25,pressing_active,31.34796238,d17,
h61.1,12/24/24,pressing_active,25.56744065,d17,
h168.2,6/22/25,pressing_active,21.42310635,d17,
h61.2,12/24/24,pressing_active,19.533144,d17,
h165.3,3/9/25,pressing_passive,14.1,d17,
h61.2,12/24/24,pressing_passive,10.60665204,d17,
h165.1,3/9/25,pressing_active,8.233679671,d17,
h56.1,10/2/24,pressing_active,6.59233336,d17,
h61.4,12/24/24,pressing_active,6.347479144,d17,
h165.2,3/9/25,pressing_active,6.072874494,d17,
h165.4,3/9/25,pressing_active,6.018226629,d17,
